,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227
71,174495295.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
72,17675135.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0
73,186174481.0,2.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,3.0,0.0,14.0,1.0,2.0,0.0,2.0,1.0,5.0,1.0,2.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,11.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,6.0,1.0,1.0,3.0,5.0,1.0,0.0,0.0,8.0,3.0,1.0,0.0,9.0,15.0,2.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,13.0,0.0,1.0,5.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,0.0,4.0,9.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,1.0,2.0,6.0,3.0,4.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,7.0,0.0,3.0,4.0,2.0,0.0,0.0,4.0,0.0,7.0,7.0,4.0,5.0,0.0,0.0,3.0,0.0,5.0,3.0,0.0,1.0,1.0,17.0,1.0,3.0,0.0,0.0,1.0,15.0,0.0,4.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0
74,1879536583.0,1.0,0.0,1.0,4.0,12.0,0.0,2.0,0.0,0.0,2.0,3.0,8.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,0.0,13.0,0.0,8.0,0.0,0.0,1.0,3.0,5.0,4.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,10.0,2.0,5.0,1.0,2.0,10.0,0.0,1.0,3.0,0.0,4.0,10.0,6.0,0.0,1.0,16.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,14.0,5.0,0.0,0.0,4.0,7.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0,3.0,0.0,9.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,4.0,1.0,5.0,8.0,0.0,0.0,2.0,1.0,27.0,9.0,9.0,11.0,0.0,0.0,0.0,4.0,10.0,0.0,1.0,1.0,1.0,14.0,0.0,10.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,8.0,10.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,5.0
75,188596350.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,4.0,0.0,2.0,18.0,3.0,1.0,2.0,7.0,1.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,9.0,0.0,2.0,9.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,16.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,15.0,0.0,13.0,0.0,12.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,3.0,0.0,7.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,11.0,4.0,20.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,29.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,4.0,0.0,7.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
76,190702011.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,12.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,1.0,1.0,1.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,20.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,8.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,19092268.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,9.0,1.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,4.0,6.0,1.0,0.0,1.0,8.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,5.0,2.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,11.0,1.0,1.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,3.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0
78,193317832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,194374619.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,19.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80,1958228784.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,17.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
81,20037352.0,0.0,2.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,15.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,2.0,0.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0
82,201189488.0,3.0,1.0,2.0,2.0,8.0,13.0,1.0,0.0,0.0,12.0,1.0,3.0,1.0,47.0,1.0,0.0,5.0,5.0,2.0,1.0,8.0,9.0,7.0,3.0,1.0,1.0,7.0,4.0,5.0,18.0,5.0,6.0,1.0,0.0,0.0,38.0,5.0,7.0,1.0,1.0,10.0,13.0,7.0,8.0,12.0,0.0,21.0,4.0,0.0,1.0,0.0,92.0,1.0,11.0,5.0,5.0,3.0,2.0,3.0,3.0,1.0,21.0,33.0,2.0,0.0,8.0,16.0,11.0,14.0,8.0,1.0,0.0,2.0,8.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,6.0,1.0,10.0,4.0,26.0,1.0,1.0,8.0,14.0,15.0,3.0,1.0,4.0,1.0,0.0,16.0,55.0,0.0,7.0,5.0,3.0,0.0,3.0,4.0,4.0,0.0,1.0,0.0,1.0,4.0,0.0,16.0,2.0,0.0,40.0,11.0,12.0,7.0,2.0,2.0,0.0,8.0,4.0,1.0,7.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,5.0,1.0,1.0,7.0,17.0,19.0,4.0,2.0,3.0,11.0,4.0,0.0,0.0,8.0,9.0,2.0,0.0,1.0,0.0,2.0,16.0,4.0,9.0,9.0,10.0,1.0,4.0,7.0,1.0,1.0,50.0,3.0,3.0,2.0,7.0,5.0,1.0,9.0,2.0,4.0,1.0,14.0,5.0,0.0,1.0,2.0,0.0,73.0,14.0,12.0,9.0,4.0,1.0,14.0,0.0,62.0,3.0,2.0,18.0,1.0,60.0,2.0,8.0,2.0,1.0,0.0,21.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,6.0,13.0,9.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,14.0,0.0,0.0,3.0,1.0,1.0
83,209614944.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,12.0,2.0,3.0,1.0,19.0,1.0,0.0,8.0,4.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,11.0,3.0,3.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,19.0,1.0,6.0,1.0,4.0,5.0,0.0,4.0,3.0,0.0,11.0,12.0,0.0,2.0,6.0,14.0,5.0,9.0,5.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,6.0,3.0,8.0,1.0,2.0,1.0,1.0,0.0,12.0,6.0,0.0,5.0,6.0,0.0,0.0,8.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,7.0,27.0,4.0,9.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,8.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,24.0,10.0,3.0,0.0,2.0,3.0,10.0,3.0,0.0,0.0,3.0,3.0,16.0,0.0,3.0,5.0,4.0,0.0,2.0,6.0,3.0,1.0,14.0,8.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,6.0,5.0,0.0,2.0,2.0,0.0,17.0,4.0,9.0,7.0,1.0,2.0,3.0,0.0,19.0,4.0,2.0,4.0,4.0,12.0,3.0,9.0,8.0,1.0,0.0,12.0,0.0,2.0,0.0,1.0,6.0,2.0,1.0,8.0,10.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,2.0,2.0,1.0
84,214127963.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,5.0,30.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,1.0,2.0,3.0,1.0,0.0,21.0,12.0,4.0,1.0,0.0,4.0,2.0,10.0,6.0,13.0,1.0,2.0,3.0,0.0,0.0,0.0,11.0,0.0,4.0,3.0,1.0,6.0,5.0,9.0,2.0,0.0,8.0,19.0,4.0,0.0,7.0,21.0,7.0,6.0,9.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,2.0,1.0,1.0,2.0,8.0,1.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,32.0,7.0,4.0,5.0,5.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,4.0,18.0,0.0,0.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,7.0,10.0,2.0,0.0,2.0,3.0,14.0,2.0,0.0,0.0,1.0,2.0,26.0,1.0,8.0,4.0,4.0,0.0,0.0,3.0,4.0,0.0,15.0,4.0,0.0,3.0,4.0,7.0,0.0,6.0,5.0,0.0,3.0,6.0,6.0,0.0,3.0,4.0,0.0,12.0,5.0,13.0,8.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,2.0,1.0,19.0,2.0,14.0,2.0,0.0,2.0,7.0,1.0,7.0,0.0,3.0,2.0,0.0,1.0,6.0,15.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,8.0,1.0,1.0
